Match Id;Match Name;Match Stage;Match Type;Match Date - Weekday;Match Date - Month;Match Date - Day of the Month;Match Date - Year;Match Time;Match Score Type;Match Note;Team1;Score - Team1;Elo Rating - Team1;Team2;Score - Team2;Elo Rating - Team2;Betting line
47604;Nerd Street Gamers Winter Championship - Open 2;Group Stage;Round 2;Tuesday;October;26;2021;4:30 AM IST;final;Bo1;Rock Bottom;0;[1449];Soniqs;1;[1725];
7432;JBL Quantum Cup;Group Stage;Round 5;Sunday;December;13;2020;6:40 AM IST;final;Bo1;TSM;0;[1858];Gen.G;1;[1724];
2165;A.W. EXTREME MASTERS Pro Invitational;Tournament;Lower Bracket Final;Monday;September;21;2020;10:30 AM IST;final;Bo3;DetonatioN Gaming;0;[1507];Absolute JUPITER;2;[1724];
78872;Nerd Street Summer Championship 2022 - Open 1;Playoffs;Grand Final;Thursday;April;14;2022;6:30 AM IST;final;Bo3;Complexity;0;[1758];Nearest Airport;2;[1723];
131954;Knights Monthly Gauntlet 2022: August;Playoffs;Grand Final;Friday;August;26;2022;8:20 AM IST;final;Bo3;Teal Seam;0;[1683];The Ganaccis;2;[1723];
28196;Champions Tour Europe Stage 3: Challengers 2;Closed Qualifier;Upper Round of 16;Friday;July;23;2021;12:15 AM IST;final;Bo3;BIG;0;[1676];Giants Gaming;2;[1723];
62529;Nerd Street Gamers Winter Championship - Open 13;Playoffs;Grand Final;Wednesday;January;12;2022;8:30 AM IST;final;Bo3;Knights Academy;0;[1597];TSM Academy;2;[1723];
13268;Champions Tour Thailand Stage 1: Challengers 3;Main Event;Quarterfinals;Saturday;March;13;2021;3:15 PM IST;final;Bo3;Overtime Esports;0;[1491];X10 Esports;2;[1723];
28468;Champions Tour CIS Stage 3: Challengers 2;Closed Qualifier;Upper Semifinals;Friday;July;23;2021;8:30 PM IST;final;Bo3;Crypto Esports;0;[1602];GMT Esports;2;[1721];
132140;BoomTV Proving Grounds: Unleashed;Playoffs;Lower Round 4;Sunday;August;28;2022;2:10 AM IST;final;Bo1;Roy's Kitten Shelter;0;[1598];Soniqs;1;[1721];
83752;Champions Tour Game Changers Series I: North America;Swiss Stage;Round 2;Friday;April;1;2022;4:30 AM IST;final;Bo3;Misfits Black;0;[1579];TSM X;2;[1721];
109821;Knights Circuit Championship;Group Stage;Winner's (E);Tuesday;June;28;2022;4:30 AM IST;final;Bo1;SoaR;0;[1769];Soniqs;1;[1720];
107957;Nerd Street Summer Championship 2022 - Open 10;Playoffs;Round of 32;Tuesday;June;14;2022;6:30 AM IST;final;Bo3;Cosmic Divide;0;[1733];Built By Gamers Academy;2;[1720];
3409;Valorant Contenders Cup;Double Elimination Stage;Lower Round 5;Sunday;October;4;2020;12:00 AM IST;final;Bo1;Oxygen Esports;0;[1653];FunPlus Phoenix;1;[1720];
6848;First Strike: Latin America;South Finals;Round 6;Wednesday;December;2;2020;4:30 AM IST;final;Bo1;9z Team;0;[1586];Estral Esports;1;[1720];
144091;Game Changers EMEA: Series III;Qualifier;Round 3;Tuesday;September;20;2022;1:00 AM IST;final;Bo1;QLASH Female;0;[1521];Supermassive Blaze Female;1;[1720];
42176;Champions Tour South America: Last Chance Qualifier;Group Stage;Elimination (A);Wednesday;October;13;2021;9:30 PM IST;final;Bo3;E-Xolos LAZER;0;[1701];FURIA;2;[1719];
46856;Red Bull Home Ground #2;Open Qualifier;Semifinals;Wednesday;October;20;2021;11:50 PM IST;final;Bo3;Fire Flux Esports;0;[1627];Ninjas in Pyjamas;2;[1719];
64691;Champions Tour Europe Stage 1: Challengers 2;Open Qualifier;Quarterfinals;Thursday;January;20;2022;1:00 AM IST;final;Bo3;19esports;0;[1634];Finest;2;[1718];
25524;Champions Tour Malaysia & Singapore Stage 3: Challengers 1;Main Event;Grand Final;Sunday;July;11;2021;10:00 AM IST;final;Bo5;UwU;0;[1600];Paper Rex;3;[1718];
31517;Oceania Tour: Stage 03;Finals;Upper Semifinals;Thursday;August;12;2021;4:30 PM IST;final;Bo3;Mindfreak;0;[1590];Wildcard Gaming;2;[1718];
10511;Champions Tour CIS Stage 1: Challengers 1;Qualifier Playoffs;Round of 16;Friday;February;12;2021;10:45 PM IST;final;Bo3;Ksenox;0;[1556];Gambit Esports;2;[1718];
50911;Nerd Street Gamers Winter Championship: Open 5;Playoffs;Semifinals;Wednesday;November;17;2021;6:35 AM IST;final;Bo3;Kowareta;0;[1547];Ghost Gaming;2;[1718];
70256;Super League Arena - Galentine's;Main Event;Semifinals;Monday;February;14;2022;5:30 AM IST;final;Bo3;Moon Raccoons Black;0;[1509];Shopify Rebellion GC;2;[1718];
35276;KJC eSports VALORANT Invitational;Last Chance Qualifiers;Semifinals;Monday;October;4;2021;11:30 AM IST;final;Bo3;Alter Ego;0;[1736];ONIC G;2;[1717];
45444;Nerd Street Gamers Winter Championship - Open 1;Playoffs;Round of 16;Tuesday;October;19;2021;6:45 AM IST;final;Bo3;Ghost Gaming;0;[1696];Complexity;2;[1717];
71837;YFP Winter Classic;Playoffs;Round of 16;Tuesday;February;22;2022;7:30 AM IST;final;Bo3;SoaR;0;[1674];TSM Academy;2;[1717];
68693;Champions Tour North America Stage 1: Challengers;Open Qualifier #2;Upper Round of 16;Saturday;February;5;2022;6:40 AM IST;final;Bo3;Pack a Punch;0;[1609];Evil Geniuses;2;[1717];
22065;Circuito de Elite - Round #1;Playoffs;Semifinals;Saturday;June;19;2021;1:10 AM IST;final;Bo3;Fire Flux Esports;0;[1576];One Breath Gaming;2;[1717];
24128;Champions Tour CIS Stage 3: Challengers 1;Closed Qualifier;Upper Quarterfinals;Wednesday;June;30;2021;11:30 PM IST;final;Bo3;Aim.Attack;0;[1552];One Breath Gaming;2;[1717];
50738;Moscow Cybersport Series #4;Week 8;Quarterfinals;Saturday;November;13;2021;8:30 PM IST;final;Bo1;cTalents;0;;GMT Esports;1;[1717];
62851;Champions Tour Europe Stage 1: Challengers 1;Open Qualifier;Quarterfinals;Thursday;January;13;2022;3:00 AM IST;final;Bo3;Team Queso;0;[1597];Rebels Gaming;2;[1716];
107343;MEDUSA Series;Playoffs;Grand Final;Saturday;July;9;2022;12:50 AM IST;final;Bo3;Guild X;0;[1890];Acend Rising;2;[1715];
106606;Knights Circuit Weekly #5;Main Event;Quarterfinals;Friday;June;10;2022;1:30 AM IST;final;Bo3;Cosmic Divide;0;[1730];NYFU;2;[1715];
12938;Champions Tour Turkey Stage 1: Masters;Main Event;Semifinals;Saturday;March;20;2021;8:30 PM IST;final;Bo3;Oxygen Esports;0;[1725];BBL Esports;2;[1715];
17596;Champions Tour SEA Stage 2: Challengers Finals;Main Event;Lower Bracket Round 3;Saturday;May;1;2021;3:30 PM IST;final;Bo1;Bren Esports;0;[1708];NXL LIGAGAME;1;[1715];
51877;Nerd Street Gamers Winter Championship: Open 6;Group Stage;Round 2;Tuesday;November;23;2021;5:30 AM IST;final;Bo1;FLICKBAITERS;0;[1558];Knights;1;[1715];
21339;Rooter Rise of Legends;Group Stage;Group A;Friday;June;4;2021;7:50 PM IST;final;Bo1;Zeusaberz Esports;0;[1499];Velocity Gaming;1;[1715];
29602;K&H Magyar Nemzeti E-sport Bajnokság #3;Regular Season;Week 3;Wednesday;August;4;2021;1:30 AM IST;final;Bo1;LvL Up Esport;0;[1473];HEET;1;[1715];
13026;Champions Tour Brazil Stage 1: Masters;Tournament;Semifinals;Sunday;March;21;2021;6:55 AM IST;final;Bo3;paiN Gaming;0;[1633];Team Vikings;2;[1714];
15274;Champions Tour Turkey Stage 2: Challengers 1;Open Qualifier;Round of 16;Thursday;April;1;2021;8:30 PM IST;final;Bo3;Searching4Org;0;;BBL Esports;2;[1714];
11694;Champions Tour Europe Stage 1: Challengers 3;Open Qualifier;Round of 128;Tuesday;March;2;2021;11:30 PM IST;final;Bo3;KETÄ;0;[1502];DfuseTeam;2;[1713];
143925;Game Changers EMEA: Series III;Qualifier;Round 1;Monday;September;19;2022;9:30 PM IST;final;Bo1;Melilla Titans Rhea;0;[1496];Supermassive Blaze Female;1;[1713];
22698;SteelSeries Prime Invitational 2021 Indonesia;Main Event;Upper Finals;Friday;June;18;2021;4:15 PM IST;final;Bo3;WAY Esports;0;[1490];Alter Ego;2;[1713];
51879;Nerd Street Gamers Winter Championship: Open 6;Group Stage;Round 2;Tuesday;November;23;2021;5:40 AM IST;final;Bo1;FLu Esports;0;[1485];TSM Academy;1;[1713];
29593;K&H Magyar Nemzeti E-sport Bajnokság #3;Regular Season;Week 2;Tuesday;August;3;2021;11:30 PM IST;final;Bo1;Zero2Hero Esports Academy;0;[1470];HEET;1;[1713];
3050;Gamers Club Ultimate II;Main Event;Upper Semifinals (B);Sunday;September;27;2020;2:30 AM IST;final;Bo1;FAKEZIN;0;[1635];Gamelanders Blue;1;[1712];
47642;Champions Tour Game Changers Series II: EMEA;Swiss Stage;Round 2;Monday;October;25;2021;11:55 PM IST;final;Bo1;Guild X;0;[1629];TENSTAR Nova;1;[1712];
42571;Circuito de Elite - Round #3;International Qualifier;Lower Bracket Round 3;Sunday;September;26;2021;8:30 PM IST;final;Bo1;EZ KATKA;0;[1533];GMT Esports;1;[1712];
83756;Champions Tour Game Changers Series I: North America;Swiss Stage;Round 2;Friday;April;1;2022;4:30 AM IST;final;Bo3;Complexity GX3;0;[1631];CLG Red;2;[1711];
35171;Community Gaming Premier Series: Finale;Main Event;Lower Round 5;Sunday;August;29;2021;11:40 PM IST;final;Bo1;YFP Gaming;0;[1621];Ghost Gaming;1;[1711];
47801;Champions Tour Game Changers Series II: EMEA;Swiss Stage;Round 5;Tuesday;October;26;2021;11:45 PM IST;final;Bo1;Team Singularity Female;0;[1534];TENSTAR Nova;1;[1711];
20153;Magyar Esport Kupa #2;Main Event;Upper Bracket Semifinals;Sunday;June;6;2021;6:30 PM IST;final;Bo3;iPon Esport;0;[1506];HEET;2;[1711];
77887;BoomTV Proving Grounds $20k - Spring 2022;Main Event;Grand Final;Thursday;March;17;2022;4:15 AM IST;final;Bo3;Gen.G;0;[1790];FaZe Clan;2;[1710];
8967;Champions Tour LATAM Stage 1: Challengers 1;Open Qualifier: LAN;Grand Final;Monday;January;25;2021;7:45 AM IST;final;Bo1;E-Xolos LAZER;0;[1758];Infinity Esports;1;[1710];
7430;JBL Quantum Cup;Group Stage;Round 4;Sunday;December;13;2020;5:45 AM IST;final;Bo1;Cloud9;0;[1709];Gen.G;1;[1710];
28210;Champions Tour Europe Stage 3: Challengers 2;Closed Qualifier;Lower Round 2;Saturday;July;24;2021;12:50 AM IST;final;Bo3;Vexed Gaming;0;[1663];Ninjas in Pyjamas;2;[1710];
106610;Knights Circuit Weekly #5;Main Event;Semifinals;Friday;June;10;2022;4:25 AM IST;final;Bo3;Gen.G;0;[1760];Lenny Time;2;[1709];
8843;Red Bull Home Ground;Open Qualifier;Quarterfinals;Saturday;January;23;2021;10:05 PM IST;final;Bo1;Gambit Esports;0;[1705];HSDIRR;1;[1709];
11475;Champions Tour North America Stage 1: Challengers 3;Main Event;Lower Round 1;Friday;March;5;2021;5:50 AM IST;final;Bo3;Kooky Koalas;0;[1572];Gen.G;2;[1709];
28466;Champions Tour CIS Stage 3: Challengers 2;Closed Qualifier;Upper Quarterfinals;Thursday;July;22;2021;11:00 PM IST;final;Bo3;ArchiGoKill;0;[1558];GMT Esports;2;[1709];
48985;Nerd Street Gamers Winter Championship - Open 3;Group Stage;Round 3;Tuesday;November;2;2021;5:40 AM IST;final;Bo1;Pho Real;0;[1496];Soniqs;1;[1709];
10499;Champions Tour CIS Stage 1: Challengers 1;Qualifier Playoffs;Round of 32;Friday;February;12;2021;8:30 PM IST;final;Bo3;Nomads;0;[1488];Gambit Esports;2;[1709];
109826;Knights Circuit Championship;Group Stage;Winner's (F);Tuesday;June;28;2022;4:30 AM IST;final;Bo1;Gen.G;0;[1729];DarkZero Esports;1;[1708];
63818;Knights VALORAMPAGE;Group Stage;Winner's (H);Friday;January;21;2022;4:30 AM IST;final;Bo1;Ghost Gaming;0;[1715];SoaR;1;[1708];
51719;Rival 1;Playoffs;Semifinals;Sunday;November;28;2021;6:30 AM IST;final;Bo3;Evil Geniuses;0;[1686];Soniqs;2;[1708];
10234;Champions Tour North America Stage 1: Challengers 2;Qualifier;Round of 16;Saturday;February;13;2021;6:15 AM IST;final;Bo3;NRG Esports;0;[1685];Andbox;2;[1708];
66548;Valorant Regional League East: Surge;Open Qualifier;Lower Round 7;Saturday;January;29;2022;12:30 AM IST;final;Bo3;iPon Esport;0;[1632];Finest;2;[1708];
63775;Knights VALORAMPAGE;Playoffs;Quarterfinals;Saturday;January;22;2022;7:00 AM IST;final;Bo3;Built By Gamers Academy;0;[1612];Renegades;2;[1708];
70013;Valorant Regional League Turkey: Birlik - Stage 1;Season;Week 3;Monday;February;28;2022;10:00 PM IST;final;Bo3;Galatasaray Esports;0;[1598];FUT Esports;2;[1708];
3408;Valorant Contenders Cup;Double Elimination Stage;Lower Round 4;Saturday;October;3;2020;11:00 PM IST;final;Bo1;LOL;0;[1563];FunPlus Phoenix;1;[1708];
17147;Champions Tour Indonesia Stage 2: Challengers 3;Main Event;Semifinals;Saturday;April;24;2021;5:30 PM IST;final;Bo3;Alter Ego;0;[1748];BOOM Esports;2;[1707];
42334;Champions Tour Game Changers Series III: North America;Swiss Stage;Round 2;Saturday;September;25;2021;6:55 AM IST;final;Bo3;VersionX;0;[1517];Cloud9 White;2;[1707];
18237;Knights Monthly Gauntlet: May;Playoffs;Grand Finals;Monday;May;17;2021;6:00 AM IST;final;Bo3;Renegades;0;[1757];Rise;2;[1706];
14417;Nerd Street Gamers March Monthly;Playoffs;Quarterfinals;Sunday;March;28;2021;10:30 PM IST;final;Bo3;PUGSTARS;0;[1635];Andbox;2;[1706];
109837;Knights Circuit Championship;Group Stage;Elimination (H);Tuesday;June;28;2022;5:25 AM IST;final;Bo3;Roy's Kitten Shelter;0;[1526];Cosmic Divide;2;[1706];
72342;FGC VALORANT Invitational 2022: Act 1;Group Stage;Week 1;Monday;February;21;2022;11:30 AM IST;final;Bo3;FunPlus Phoenix ZHUQUE;0;[1521];Tales of Eastern;2;[1706];
94278;Champions Tour North America Stage 2: Challengers;Open Qualifier #1;Round of 64;Friday;April;29;2022;5:30 AM IST;final;Bo3;TradeLikePros;0;[1510];Girl Kissers;2;[1706];
4545;First Strike: North America;NSG Open Qualifier;Quarterfinals;Thursday;October;29;2020;2:30 AM IST;final;Bo3;Sentinels;0;[1935];Gen.G;2;[1705];
104530;Valorant Regional League MENA: Resilience - Stage 2;Levant and North Africa;Week 4;Tuesday;May;31;2022;12:00 AM IST;final;Bo3;NASR Esports;0;[1584];XPLDZ;2;[1704];
8966;Champions Tour LATAM Stage 1: Challengers 1;Open Qualifier: LAN;Semifinals;Monday;January;25;2021;6:30 AM IST;final;Bo1;Akave Esports;0;[1493];Infinity Esports;1;[1704];
10249;Champions Tour North America Stage 1: Challengers 2;Main Event;Lower Round 1;Sunday;February;21;2021;5:15 AM IST;final;Bo3;FaZe Clan;0;[1731];XSET;2;[1703];
100015;Knights Circuit Weekly #2;Main Event;Grand Final;Friday;May;13;2022;6:00 AM IST;final;Bo3;NYFU;0;[1679];Oxygen Academy;2;[1703];
106348;Nerd Street Summer Championship 2022 - Open 9;Playoffs;Semifinals;Wednesday;June;8;2022;5:30 AM IST;final;Bo3;The Ganaccis;0;[1627];NYFU;2;[1703];
