"";"Match Id";"Match day of the week";"Match day of the month";"Match month";"Match year";"Match Name";"Match Stage";"Match Type";"Match Time";"Match Score Type";"Match Note";"Team1";"Score";"Elo Number";"Team2";"Score.1";"Elo Number.1";"Betting line"
"17266";99;"Sunday";10;"5";2020;"Valhalla Invitational";"Week 2";"Group B";"3:30 AM IST";"final";"Bo1";"Banbind";"1";NA;"Dignitas";"0";NA;NA
"2";100;"Sunday";10;"5";2020;"Valhalla Invitational";"Week 2";"Playoffs";"10:30 PM IST";"final";"Bo3";"smoke";"2";NA;"Moscow 5 Academy";"1";NA;NA
"37";101;"Monday";11;"5";2020;"Valhalla Invitational";"Week 2";"Playoffs";"12:45 AM IST";"final";"Bo3";"Jacked Gamers";"2";NA;"The Boys";"0";NA;NA
"142";102;"Monday";11;"5";2020;"Valhalla Invitational";"Week 2";"Playoffs";"3:00 AM IST";"final";"Bo3";"smoke";"0";NA;"Jacked Gamers";"2";NA;NA
"284";103;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group A";"9:30 PM IST";"final";"Bo1";"Team Jbzz";"0";NA;"AKATSUKI";"1";NA;NA
"452";104;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group A";"9:30 PM IST";"final";"Bo1";"InetGamer";"0";NA;"Uruguay 3";"1";NA;NA
"552";105;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group B";"9:30 PM IST";"final";"Bo1";"Washed Players";"0";NA;"HypHypHyp";"1";NA;NA
"649";106;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group B";"9:30 PM IST";"final";"Bo1";"IDDQD v2";"0";NA;"BlackBelts";"1";NA;NA
"798";107;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group C";"9:30 PM IST";"final";"Bo1";"StartedFromCS";"1";NA;"LEMONn";"0";NA;NA
"885";108;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group C";"9:30 PM IST";"final";"Bo1";"Prodigy";"1";NA;"SuperStars";"0";NA;NA
"955";109;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group D";"9:30 PM IST";"final";"Bo1";"fish123";"1";NA;"LUJAika";"0";NA;NA
"1132";110;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group D";"9:30 PM IST";"final";"Bo1";"OldTownRoad";"1";NA;"DPE";"0";NA;NA
"1188";111;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group D";"10:30 PM IST";"final";"Bo1";"fish123";"1";NA;"DPE";"0";NA;NA
"1231";112;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group D";"10:30 PM IST";"final";"Bo1";"LUJAika";"0";NA;"OldTownRoad";"1";NA;NA
"1385";113;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group C";"10:30 PM IST";"final";"Bo1";"StartedFromCS";"0";NA;"SuperStars";"1";NA;NA
"1409";114;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group C";"10:30 PM IST";"final";"Bo1";"LEMONn";"0";NA;"Prodigy";"1";NA;NA
"1506";115;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group B";"10:30 PM IST";"final";"Bo1";"Washed Players";"1";NA;"BlackBelts";"0";NA;NA
"1542";116;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group B";"10:30 PM IST";"final";"Bo1";"HypHypHyp";"1";NA;"IDDQD v2";"0";NA;NA
"1581";117;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group A";"10:30 PM IST";"final";"Bo1";"Team Jbzz";"0";NA;"Uruguay 3";"1";NA;NA
"1621";118;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group A";"10:30 PM IST";"final";"Bo1";"AKATSUKI";"0";NA;"InetGamer";"1";NA;NA
"1630";119;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group A";"11:30 PM IST";"final";"Bo1";"Team Jbzz";"0";NA;"InetGamer";"1";NA;NA
"1706";120;"Tuesday";12;"5";2020;"Solary Cup";"Group Stage";"Group A";"11:30 PM IST";"final";"Bo1";"Uruguay 3";"1";NA;"AKATSUKI";"0";NA;NA
"1740";121;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group A";"11:30 PM IST";"final";"Bo1";"Uruguay 3";"1";NA;"InetGamer";"0";NA;NA
"1774";122;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group A";"11:30 PM IST";"forfeited by AKATSUKI";"Bo1";"AKATSUKI";"0";NA;"Team Jbzz";"0";NA;NA
"1822";123;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group A";"10:30 PM IST";"final";"Bo1";"InetGamer";"1";NA;"AKATSUKI";"0";NA;NA
"1954";124;"Thursday";14;"5";2020;"Solary Cup";"Group Stage";"Group A";"10:30 PM IST";"final";"Bo1";"Uruguay 3";"0";NA;"Team Jbzz";"1";NA;NA
